R,V,E
1,50,11.451607765205182
2,562,66.26450315335882
3,2722,55.81552143952058
4,9522,154.74068694485868
5,26082,533.6167991525108
6,59362,461.80165418241813
7,121922,1458.2742662662058
8,227522,2282.47508922196
9,393602,805.146237929177
10,651842,3959.171709803515
11,1022962,1930.4176062715705
12,1553922,4748.572354246397
13,2283842,7597.986927601043
14,3257122,3328.515068644192
15,4556242,14646.353509595618
16,6221842,13584.882194059901
17,8343522,11695.504498501308
18,11019522,19118.487453721464
19,14330562,17813.801966328174
20,18389442,10551.963040217757
21,23344962,24224.869998037815
22,29298802,26116.646702688187
23,36423042,40814.481778755784
24,44868722,58159.4688340202
25,54755122,21917.446680940688
26,66405362,64769.83955807239
27,79878162,39464.49735160172
28,95483122,33486.53581678867
29,113490162,77889.17679947615
30,134010882,28044.588457494974
31,157533042,97514.72548225522
32,184200562,137442.1693200767
33,214255202,77620.96839374304
34,248232162,121487.47832402587
35,286286162,71591.2021510601
36,328935602,73145.63055586815
37,376628482,179339.08208191395
38,429489042,97365.5433562398
39,488347922,217975.50931155682
40,553362562,235266.82340705395
41,624975282,104155.51785027981
42,704109362,235846.65381860733
43,790838242,166425.1616805792
44,885960402,131126.6812171936
45,990185522,249888.40184390545
46,1103779042,171299.90283179283
47,1227882562,392393.9935286045
48,1362621282,365477.5535812378
49,1508762642,156162.37315654755
50,1667660002,386435.993162632
51,1839197922,179332.54547047615
52,2025046402,412563.59313583374
53,2225360162,417188.9706206322
54,2441021202,219567.6240143776
55,2673657842,559788.4512543678
56,2923307682,554021.1423487663
57,3191243682,519987.0195994377
58,3478704402,706589.8778176308
59,3785909282,308586.8245534897
60,4114883362,290699.1203107834
61,4467022242,951963.0187721252
62,4841590482,423520.60701942444
63,5242013922,960330.6457557678
64,5667851282,912159.4095230103
65,6120221682,150491.52693271637
66,6602664162,927440.8208761215
67,7113954722,692181.1487531662
68,7656611682,595697.2426919937
69,8232188722,783215.5497703552
70,8841498482,617195.0722370148
71,9487168722,1232878.2077331543
72,10169669042,1564401.5895137787
73,10889788242,821546.9266681671
74,11651142882,997691.8443450928
75,12454153202,845120.7239685059
76,13300867602,698895.543466568
77,14193712322,1225926.7174854279
78,15132993842,926763.9376163483
79,16122520002,1756107.0126094818
80,17162256402,1778596.7086086273
81,18254014802,856605.5893592834
82,19403082562,2279068.856437683
83,20606274322,812555.1894721985
84,21870041122,809777.586353302
85,23196762242,2500824.203479767
86,24583637522,884869.1959533691
87,26039449682,2491883.5578193665
88,27561174082,1991785.962272644
89,29153075762,1290873.6018943787
90,30818811762,1633533.0288581848
91,32558855682,1026190.995174408
92,34378345282,2084305.2928771973
93,36277122242,2071515.5942840576
94,38258425282,1592154.2921905518
95,40327190562,2891037.3400878906
96,42483637202,3438375.0924301147
97,44729210482,1872363.1447753906
98,47070820642,2237373.174095154
99,49508554402,1694863.7789459229
100,52046965442,1813251.3196792603
101,54690119442,3612340.758705139
102,57436012082,1980716.5006713867
103,60294315442,3421533.2327423096
104,63264445362,4119266.764732361
105,66346538802,916464.8694229126
106,69554968322,4827618.122711182
107,72879993122,2689590.7438812256
108,76331949282,1351251.435760498
109,79917644722,4067824.2250823975
110,83631869122,2010199.3024902344
111,87487998722,4869123.862945557
112,91482189362,5047632.945907593
113,95618968722,3252680.2754364014
114,99906318482,3576689.1005859375
115,104344667042,2489663.0355682373
116,108939948802,1897856.8998565674
117,113700984562,6523567.558609009
118,118618316402,2739404.7627105713
119,123711848642,6208641.989074707
120,128975680642,6717407.280944824
121,134412481202,2548474.087905884
122,140039221842,6213932.106323242
123,145845422482,2700258.119445801
124,151847932722,4248986.837615967
125,158044910962,4335221.738586426
126,164440869842,2712465.9076538086
127,171049424082,8159852.8779296875
128,177862120962,7312017.470489502
129,184886269522,2487686.63470459
130,192140514402,7262910.288360596
131,199612417602,4052212.157989502
132,207319225362,4874860.6189575195
133,215263459122,6945219.535766602
134,223444945522,4702139.102325439
135,231880455682,9447626.682006836
136,240562279842,7920877.648071289
137,249501081602,5151906.223754883
138,258710384642,8947656.32244873
139,268180463522,3782192.388153076
140,277931536002,3988410.2352905273
141,287968406322,8400707.889587402
142,298284732402,4621576.427429199
143,308904560962,10556110.816894531
144,319819177042,11260920.757446289
145,331034384962,6224481.520263672
146,342569961602,8819804.788757324
147,354418693602,5341029.498352051
148,366598837762,7463212.677001953
149,379110373282,8493960.285461426
150,391957333682,5704738.057067871
151,405158134882,10658342.338500977
152,418710808562,14441650.929748535
153,432609205442,3868293.924255371
154,446892026082,10508844.549316406
155,461538467522,6336850.006225586
156,476568669682,4174622.31048584
157,492002901202,16878469.132080078
158,507809972082,5750724.635437012
159,524042010562,15316020.32019043
160,540673770402,12627955.860900879
161,557722379442,7017049.947509766
162,575213672242,16422771.12512207
163,593121867202,7070048.635498047
164,611481168162,5070263.255493164
165,630299344882,10001118.138671875
166,649573311522,10484509.654785156
167,669325033282,20092558.23046875
168,689541447602,17268199.188964844
169,710238595042,9455453.590820312
170,731437795042,9274579.07397461
171,753137805842,6681380.693359375
172,775356592242,10734361.762573242
173,798099146722,17415234.692382812
174,821353550642,5689511.83215332
175,845170661682,17193336.309692383
176,869529544002,21663032.87121582
177,894429858402,9324658.722045898
178,919922933602,21964674.36657715
179,945967436082,8599174.448242188
180,972614271522,10374718.590209961
181,999863217842,17200762.235595703
182,1027706534562,11358407.487182617
183,1056182545922,21082913.947998047
184,1085277002082,21924289.561767578
185,1114995738802,9406361.452392578
186,1145381992562,16341286.765136719
187,1176424747282,21175663.505859375
188,1208117900722,7156321.382080078
189,1240513257522,15322752.642822266
190,1273590482082,14459382.918701172
191,1307379767682,23764082.06225586
192,1341875648562,26659634.98828125
193,1377078557842,12351052.514404297
194,1413041888322,22885762.199951172
195,1449731326002,12486519.188232422
196,1487188234242,10934957.044677734
197,1525432615442,26532658.598632812
198,1564425218642,8208146.782470703
199,1604247606242,25582995.47265625
200,1644863759842,30577060.329833984
201,1686280760642,18088269.638183594
202,1728553819762,31022335.146972656
203,1771635008002,9021902.909179688
204,1815599143522,14353624.124023438
205,1860442294562,30410265.974121094
206,1906137560722,17491382.46875
207,1952752692962,30422705.282226562
208,2000262761922,31223854.59423828
209,2048666673842,5623649.930908203
210,2098042733602,18622541.004638672
211,2148354710402,20557678.553710938
212,2199624292162,19556705.18310547
213,2251883746642,34198266.205566406
214,2305097439922,15029880.479003906
215,2359356121042,38851971.25097656
216,2414601594162,33389416.994628906
217,2470867016402,17588782.251464844
218,2528209394002,34113868.47216797
219,2586575878162,15640944.852539062
220,2646039029842,20122939.18017578
221,2706592902082,26871148.669433594
222,2768247946722,31461350.803710938
223,2831017841602,32560394.17529297
224,2894927164002,39599029.32714844
225,2959959334802,20715459.58984375
226,3026193246962,39383211.924316406
227,3093570936642,22081647.76220703
228,3162159132882,19845033.844726562
229,3231986019682,45024013.0625
230,3302977277762,7326755.298828125
231,3375286544322,44278108.26660156
232,3448819375522,45181468.349609375
233,3523600316882,18188571.442382812
234,3599717461602,34857203.79394531
235,3677112747202,20447232.840820312
236,3755848831202,20795678.05419922
237,3835948398722,41623701.77685547
238,3917365424962,19798480.064453125
239,4000220130482,58287873.5234375
240,4084419585042,46763658.154785156
241,4170027076722,30970036.19189453
242,4257091852002,42463106.94238281
243,4345572903282,22397777.624023438
244,4435546753442,29311714.213867188
245,4527000995202,32664092.278320312
246,4619953699522,32243387.8203125
247,4714450815042,55566208.11425781
248,4810457801122,49509722.552734375
249,4907996429602,17112813.481445312
250,5007190700162,63490827.041015625
251,5107879643682,8638324.0078125
252,5210269089522,39195750.6328125
253,5314285496722,62280029.484375
254,5419884446802,13976750.284179688
255,5527252160082,60855880.75292969
256,5636252515362,46990837.4453125
257,5746976227842,43135796.59472656
258,5859432174722,38050684.95019531
259,5973639033282,30138650.6171875
260,6089632019602,34184173.89941406
261,6207431627842,50091738.13769531
262,6327019566402,38821380.54980469
263,6448483456002,67086163.07324219
264,6571778311362,68833243.20410156
265,6696904761602,23463664.83203125
266,6824003865442,50646949.09082031
267,6952997896562,51105845.19042969
268,7083905807282,22079401.260742188
269,7216838659122,52752915.18847656
270,7351700152402,24786925.462890625
271,7488637645922,63336282.01269531
272,7627591422642,86315217.04492188
273,7768518847122,28554175.88671875
274,7911625214722,72648407.82714844
275,8056742436482,27642236.955078125
276,8204023561682,23551012.999023438
277,8353504886482,73469142.16992188
278,8505084225922,51841478.00097656
279,8658908110082,81658872.18261719
280,8814910490002,73163485.41015625
281,8973136384642,47495138.224609375
282,9133678069362,72879181.83984375
283,9296454705362,44255329.001953125
284,9461560302082,31239444.810546875
285,9629042709842,57115577.57421875
286,9798836012722,31228229.642578125
287,9971106511122,94964308.24804688
288,10145726658002,95688756.34570312
289,10322722185282,33870343.458984375
290,10502287745362,78722576.50976562
291,10684248855442,30147410.666015625
292,10868813915122,70752240.1796875
293,11055877941122,69584009.23046875
294,11245463172322,22733642.755859375
295,11437753003202,87268877.30664062
296,11632603115602,92365411.87109375
297,11830054239682,52067258.728515625
298,12030250061122,83193334.28320312
299,12233081898802,50014529.90234375
300,12438657813202,33361502.76171875
301,12647064507682,92525346.68164062
302,12858171872962,69801462.97265625
303,13072130268082,87769911.265625
304,13288919049442,97823840.36523438
305,13508496036482,29634559.080078125
306,13731106201602,99840847.06445312
307,13956539224962,69603145.6640625
308,14184914973842,30082308.751953125
309,14416362381842,81318193.56445312
310,14650730128722,42908891.5546875
311,14888234583522,101953239.21679688
312,15128763001842,116247488.9375
313,15372329317602,70076459.83007812
314,15619071151362,71221248.578125
315,15868941835282,42983580.27734375
316,16122052517522,66289599.26953125
317,16378393293762,100820779.98632812
318,16637903152082,54958197.791015625
319,16900790068882,105877839.81835938
320,17166943788802,112329915.8125
321,17436375651362,54464888.96484375
322,17709292417922,107659826.76171875
323,17985503924402,50170511.82421875
324,18265206760802,46810352.734375
325,18548474703682,139382254.89453125
326,18835065061682,53023531.35546875
327,19125375860802,153390573.6640625
328,19419100056242,100870082.6953125
329,19716400503362,25549419.49609375
330,20017481935362,99193676.12890625
331,20322105348802,49630586.50390625
332,20630519858242,92604557.23828125
333,20942638798482,107878298.4609375
334,21258476148882,75656534.69921875
335,21578198249762,128301795.671875
336,21901708772002,135303407.16015625
337,22229050081762,104641601.85546875
338,22560332728642,112275070.15234375
339,22895488208162,54902831.04296875
340,23234684692962,65694822.9296875
341,23577938839202,126097694.46875
342,23925123615202,73662835.4140625
343,24276491046322,124790647.4453125
344,24631956218082,158733055.03125
345,24991431850722,52167456.25390625
346,25355307005282,157902193.64453125
347,25723236565522,94357865.03125
348,26095475263042,79591834.390625
349,26472076452802,130073142.66796875
350,26852854355762,22924538.62109375
351,27238246649362,158512349.671875
352,27627905977602,151955952.7421875
353,28021932065842,65241965.08203125
354,28420573479762,108982595.12890625
355,28823676372882,91162553.3359375
356,29231325384722,58036603.01171875
357,29643682890802,133378951.1640625
358,30060593177362,122657359.34765625
359,30482220388482,150979654.484375
360,30908555448482,170015519.72265625
361,31339532711922,74645885.265625
362,31775491360402,164359119.2265625
363,32216093768002,61615858.453125
364,32661701070722,87417839.359375
365,33112266622402,154763208.80859375
366,33567640921682,73572874.89453125
367,34028187741442,166819337.83984375
368,34493667147442,153544720.78515625
369,34964176293282,89655120.66015625
370,35439952548802,171048399.0234375
371,35920721138642,81252132.890625
372,36406815930562,112211325.578125
373,36898170262162,155114517.5390625
374,37394667267922,50720217.2265625
375,37896739800082,189277171.8984375
376,38404056912642,197007758.4765625
377,38916677608962,89854974.40625
378,39434921639202,144279268.4453125
379,39958590210242,117967851.5625
380,40487796352962,80201367.734375
381,41022732673522,179604564.8125
382,41563145333282,118125605.3359375
383,42109389617122,206603777.40625
384,42661272964322,207799765.5078125
385,43218775125042,56551521.328125
386,43782376359442,187972774.6484375
387,44351639402402,119417144.1484375
388,44926851618082,92632088.234375
389,45508107694722,156453095.9140625
390,46095211927042,69085477.6328125
391,46688555881362,175768876.078125
392,47287938731522,229112577.046875
393,47893324542882,146378900.3125
394,48505030385442,197595710.390625
395,49122819664322,98886287.4609375
396,49746969999762,80348718.1484375
397,50377648939762,261767926.40625
398,51014363178482,101833464.3046875
399,51657795358482,234941142.9296875
400,52307552764802,219886503.1953125
401,52963713840242,86379486.65625
402,53626724395362,231253826.3984375
403,54296084723442,105581397.8671875
404,54972258290482,123361609.6640625
405,55655140007762,129793354.4453125
406,56344760617122,105659679.7265625
407,57041395737042,276373258.75
408,57744693378402,239491541.2734375
409,58454840283842,131055504.484375
410,59172120624802,184286083.7734375
411,59896276254642,89836683.6015625
412,60627672602722,161686648.3671875
413,61366145152482,183618733.1875
414,62111715221442,124998494.8046875
415,62864701369602,252182082.3515625
416,63624829896322,239012508.265625
417,64392179866322,111845039.09375
