R,V,E
1,10,4.741441018057279
2,220,51.726112577832936
3,1342,64.17016738791881
4,5902,517.235602490654
5,16864,431.0031814289978
6,42154,1263.445356413402
7,89396,1015.3991904886934
8,176156,3843.5392797009263
9,312916,2403.350675264257
10,531926,6070.101805727929
11,852496,5599.817399142892
12,1321568,13070.25140522886
13,1959258,6791.859917541267
14,2844020,15840.77409563819
15,4000870,7651.7730872463435
16,5548222,34223.25695042964
17,7483592,17190.219575754367
18,9967432,31027.221608456224
19,13052442,31729.363370612264
20,16890722,63333.257783293724
21,21502572,26086.003288749605
22,27152462,51784.15677257255
23,33887864,41974.7064858377
24,41993304,121376.04496732354
25,51399456,46340.94196561724
26,62602186,123269.51736132056
27,75495986,41412.2140892297
28,90670706,168970.77106042206
29,107956316,97229.19608454406
30,127930718,147734.738791883
31,150675608,127528.86355558038
32,176681120,233160.2224137485
33,205887890,92117.62799170613
34,239157612,232755.02642413974
35,276347942,158564.4702771306
36,318326342,361389.0914705992
37,364863992,214704.07420015335
38,416974162,311357.62785959244
39,474609564,160291.95996254683
40,539001804,525364.2490653992
41,609506374,269707.61768877506
42,687596584,349032.1052399874
43,773324506,271937.640935421
44,867913666,691975.0167223215
45,970535106,183076.86020088196
46,1083739516,671058.6075468063
47,1206380878,356631.47643375397
48,1340749198,847503.4389543533
49,1485884598,471840.19454336166
50,1644031630,731948.1428997517
51,1814785640,450007.3569083214
52,2000372632,1047304.5555622578
53,2199675802,570136.0768861771
54,2415536642,990280.8508553505
55,2647094412,543841.3723216057
56,2897421812,1366284.673933506
57,3164421342,388171.29905843735
58,3452490672,999894.27470541
59,3760327034,855440.084446907
60,4090824274,1768809.6413402557
61,4442304884,945419.26085186
62,4818887054,1348521.633778572
63,5219224494,438396.7991666794
64,5648529534,2194821.117239952
65,6102520856,1064168.2423171997
66,6587354346,1889630.0957345963
67,7100652876,940367.8387727737
68,7647896188,2300764.8455724716
69,8225570838,1019739.6760597229
70,8839997120,1937039.0488681793
71,9489128570,1482110.8142642975
72,10177798090,2919596.9270591736
73,10902721260,1352014.41954422
74,11671382662,2605448.374404907
75,12479832302,1025342.8976459503
76,13336451502,3241762.091506958
77,14235140664,1356523.027393341
78,15184475994,2099288.7188014984
79,16183381636,2499071.094226837
80,17235532916,4286843.970092773
81,18337175916,1714486.0236816406
82,19498840326,3267001.766040802
83,20715445448,1767894.5149230957
84,21996931088,5009427.367679596
85,23334426970,1921406.174232483
86,24741733940,4051752.5099334717
87,26211102550,1344456.6485443115
88,27756237422,5143310.535114288
89,29367377272,3271300.7589302063
90,31055214712,3949779.5264282227
91,32818426962,3328545.6341171265
92,34663709754,5519117.441497803
93,36584853924,1670693.8440093994
94,38597782646,5006757.245880127
95,40692605896,2878906.5331573486
96,42884258616,7404390.046539307
97,45160343538,3308298.554336548
98,47538276298,5068048.225387573
99,50010860818,2488131.6019821167
100,52594088098,8498278.572792053
101,55272241028,4257637.34576416
102,58064688798,5948553.421066284
103,60965176040,4065080.5640182495
104,63987139360,8728881.777992249
105,67116101490,2082750.2773513794
106,70379015612,7634302.460357666
107,73758533542,4523530.882064819
108,77275210022,9726465.227371216
109,80914861432,5413253.283721924
110,84697649042,8030781.914291382
111,88614004772,4227806.030639648
112,92683512972,9736097.565872192
113,96890681782,5141174.4473724365
114,101258194352,9132889.569869995
115,105772882314,4478271.7682647705
116,110460743634,13038746.79057312
117,115295811954,4638848.270904541
118,120311940964,8849958.702301025
119,125494678926,6864202.409698486
120,130863369406,13594546.522888184
121,136401275286,7798181.949356079
122,142133359816,9856944.347259521
123,148048447458,3937527.0983581543
124,154176289418,15056382.280914307
125,160485973018,7488461.642547607
126,167012730578,11575467.57333374
127,173741302988,7088794.078552246
128,180699434220,16723407.751678467
129,187858259310,6485198.747314453
130,195259746472,13132463.75415039
131,202882145122,9623298.967712402
132,210751115514,16244605.06350708
133,218846528124,7410840.16986084
134,227206607014,15806752.84072876
135,235801186654,5643573.028808594
136,244680933214,21879673.05831909
137,253794641256,7516628.597961426
138,263199345386,13710239.633911133
139,272872630548,12080193.442596436
140,282838097748,20175157.56378174
141,293072245038,8353132.7734375
142,303620863608,16176914.05645752
143,314455945178,9320851.579956055
144,325621899338,25787559.665893555
145,337071990268,12344005.764221191
146,348862174110,18358251.42541504
147,360962187310,6887163.274108887
148,373423502942,22632105.98095703
149,386201739232,14346835.236877441
150,399341108584,19285892.72467041
151,412825278594,14064989.092773438
152,426691591594,28879916.928222656
153,440889921434,6362701.7286987305
154,455504033924,22941412.876586914
155,470476180566,13433264.61114502
156,485867767646,31713077.00164795
157,501619624448,10980858.920288086
158,517810417818,22175741.01525879
159,534397239300,14562480.683227539
