R,V,E
1,8,3.4405467360948006
2,80,7.048747777516809
3,384,14.684285623678818
4,1184,16.77996444026894
5,2848,-1.6582899407494551
6,6064,154.9485699788611
7,10928,-19.24728663638416
8,18576,-99.52056895569694
9,30128,213.42713551798442
10,45824,229.46736094800872
11,66752,-2.955236836030963
12,94416,-128.8228803382226
13,129936,-286.5446703964117
14,175744,588.0434138178534
15,231536,713.6785147992778
16,299168,359.6708967088489
17,380576,-234.0960546261631
18,479280,646.8341682877508
19,593856,-336.50880538951606
20,729600,87.47777516813949
21,888160,1432.9697824527975
22,1068416,336.7162106235046
23,1275472,-449.9608244949486
24,1513584,866.8339145884383
25,1779952,-1084.4312129686587
26,2085248,1687.2852736574132
27,2423856,775.5979769565165
28,2803008,512.694621085655
29,3223328,-1486.6639481335878
30,3695088,1930.8562367884442
31,4209328,-1422.8377349944785
32,4780624,-309.2656526584178
33,5409104,1952.625816281885
34,6096096,3134.4631259813905
35,6844720,2690.445852259174
36,7658944,813.3466926040128
37,8543792,-1357.4885338321328
38,9509376,2295.859113767743
39,10551584,3557.88169789128
40,11673776,1575.6444026902318
41,12881120,-2805.214466020465
42,14188992,1359.5165192447603
43,15585360,-2503.3780923597515
44,17088224,-1044.5406300239265
45,18703584,6975.959698740393
46,20420768,6016.626808080822
47,22242944,-5733.462266188115
48,24199792,-3682.6573665849864
49,26284832,491.26478604227304
50,28504304,7721.1005925014615
51,30850144,4526.219575278461
52,33335680,-1291.4356214813888
53,35973248,-3031.34923196584
54,38780032,10745.567631304264
55,41721440,-407.0230225175619
56,44842208,2283.113937370479
57,48135040,5446.7867634519935
58,51594240,-2794.6231701374054
59,55245360,-3181.161367572844
60,59093792,3277.6997886151075
61,63128512,-952.9389624297619
62,67376272,4258.596240088344
63,71825376,486.5523786842823
64,76504000,9067.749557465315
65,81389456,365.58100225031376
66,86541184,26762.01306051016
67,91869472,-8622.414798617363
68,97484720,-2664.5899842977524
69,103359072,9393.173215910792
70,109478496,6023.133636146784
71,115859168,-4203.876767739654
72,122522432,-7658.452918335795
73,129462512,-17940.616616472602
74,136737888,15496.183458685875
75,144282576,18625.071749538183
76,152123424,10141.74582028389
77,160278208,-439.5236432850361
78,168771456,3038.107166260481
79,177593536,2462.055178105831
80,186747280,-7925.689556956291
81,196275472,5959.436133503914
82,206138160,-4643.431456327438
83,216371280,-12716.582910686731
84,227013488,11368.264307916164
85,238002896,-3414.0341413617134
86,249419312,13497.950522243977
87,261217456,7468.220201194286
88,273427072,-1224.650080382824
89,286061744,-8571.512176632881
90,299175344,29615.355179846287
91,312667024,2694.246378183365
92,326626320,-9701.971070706844
93,341087120,16302.143465459347
94,356012768,33928.60374099016
95,371370192,-126.00336849689484
96,387261392,5797.482134640217
97,403638048,-7071.206630587578
98,420552288,2836.2365766763687
99,437997360,18098.691118836403
100,455938272,-7054.390519976616
101,474441280,-17254.982733905315
102,493551024,21139.513204455376
103,513160016,-10465.730855703354
104,533409568,18025.03005629778
105,554255792,51398.11403310299
106,575660400,39930.41228854656
107,597621776,-29538.61084127426
108,620313696,5113.082100868225
109,643577664,-26373.898305654526
110,667578400,28847.63163971901
111,692167888,10779.42875957489
112,717408992,-29806.177002072334
113,743389936,-16886.282579302788
114,770121472,47980.588215231895
115,797444864,-6361.515309333801
116,825580912,28358.029277801514
117,854408256,18140.41752910614
118,883980928,4269.4181188344955
119,914335696,10655.372842550278
120,945452400,4171.196617841721
121,977365744,6444.377483725548
122,1010084576,13136.97660112381
123,1043591424,-6518.3717477321625
124,1077955968,3753.539841413498
125,1113153472,5702.491894721985
126,1149286624,88392.83805894852
127,1186076208,-41124.494896411896
128,1223887456,-31460.007080554962
129,1262625680,8746.374518871307
130,1302269632,44185.29603600502
131,1342750560,-8066.023273468018
132,1384188464,-42287.79103183746
133,1426648976,-7237.641740322113
134,1470108816,59305.36322212219
135,1514461760,36508.73559784889
136,1559808576,10422.560251235962
137,1606155888,-27156.50483250618
138,1653601024,6162.771454572678
139,1702039472,-9177.806658744812
140,1751546736,-12829.861821651459
141,1802172944,30069.556438684464
142,1853815376,1425.9717161655426
143,1906563984,-24292.519273757935
144,1960529440,47992.75330662727
145,2015510144,979.0324168205261
146,2071746832,59590.13413643837
147,2129100336,68736.44766902924
148,2187533040,-25229.064661026
149,2247257408,-25982.86740922928
150,2308305488,82273.14799261093
151,2370367088,-27012.33676624298
152,2433782784,-29732.066875457764
153,2498501584,6543.7855978012085
154,2564529472,71111.62170743942
155,2631701792,-17481.584371089935
156,2700317504,22817.714660167694
157,2770143408,-58206.36077976227
158,2841436896,-20287.1171503067
159,2914153904,75276.71221065521
160,2988086160,2868.967088699341
161,3063472704,-15923.93961238861
162,3140330432,18230.978136062622
163,3218578736,7053.279482841492
164,3298324080,39225.096698760986
165,3379560016,90407.13517570496
166,3462214016,70070.6734290123
167,3546275616,-50358.43690633774
168,3632034864,948.2289266586304
169,3719249920,-36178.331191539764
170,3808151008,50047.453738212585
171,3898579728,82677.72783899307
172,3990474304,-18720.791644096375
173,4084052784,-54866.81434726715
174,4179438064,78259.52321910858
175,4276298016,29544.6576628685
176,4374933200,80453.59871387482
177,4475150720,18885.929226875305
178,4577132000,6951.805173873901
179,4680769360,-82452.04434871674
180,4786309296,-22362.31712245941
181,4893546336,-37893.13780975342
182,5002664224,34947.94205093384
183,5113466464,-20196.055956840515
184,5226194832,18480.46286869049
185,5340690624,-27806.333645820618
186,5457306608,173522.29544734955
187,5575382864,-57752.33578205109
188,5695688096,26665.65985584259
189,5817928848,112802.74267292023
190,5941962528,37439.94610404968
191,6067960560,-48735.12329387665
192,6196103728,14215.71415424347
193,6326132448,-54246.7887506485
194,6458380160,58252.693910598755
195,6592649840,133516.0611820221
196,6728830352,39123.7852268219
197,6867108352,-59661.08866977692
198,7007719040,50859.057901382446
199,7150261664,-51679.583532333374
200,7295116208,-9014.248319625854
201,7442182112,56464.40131187439
202,7591370064,33504.27625751495
203,7742731408,-48600.13946914673
204,7896583488,105336.21127128601
205,8052418480,-34779.04126358032
206,8210832496,104788.30630874634
207,8371414784,90799.0304889679
208,8534238992,-25695.519099235535
209,8699572192,-329.4197082519531
210,8867433056,162753.82452964783
211,9037358912,-22042.717401504517
212,9209817264,-110249.403383255
213,9384908752,-24370.018186569214
214,9562595376,174342.22653961182
215,9742403824,-10787.307725906372
216,9924886496,-50830.6863861084
217,10110039184,26422.598279953003
218,10297711088,46481.62710952759
219,10488006512,89850.05406570435
220,10680805280,12442.10623550415
221,10876293536,-23617.416177749634
222,11074583568,69830.86015319824
223,11275291664,-115163.11832237244
224,11479060848,40077.16796684265
225,11685528352,148326.81171417236
226,11894586640,77483.4787311554
227,12106309520,-123320.59204673767
228,12321095536,-80326.58855628967
229,12538719552,-43565.12562561035
230,12759365904,146295.75505065918
231,12982735344,164894.58489227295
232,13208833168,-7695.531555175781
233,13438048640,-7542.9166259765625
234,13670464672,222822.68046569824
235,13905321088,-102325.9163684845
236,14143703600,77062.68990135193
237,14384920880,43890.469425201416
238,14629221648,20997.965480804443
239,14876503552,-119955.70553970337
240,15127157552,-14108.85411453247
241,15380737936,-133381.21760940552
242,15637722800,-25993.960260391235
243,15897882256,51738.32681274414
244,16161212464,69439.62561798096
245,16427737648,24688.491275787354
246,16697891984,324906.0520362854
247,16970702208,-30035.990732192993
248,17247274480,39048.63746261597
249,17527202528,98804.78423690796
250,17810382464,18151.870315551758
251,18097027680,-16820.110443115234
252,18387075952,-95746.59105682373
253,18680669440,-103988.43143081665
254,18978003136,125816.08165740967
255,19278761984,250871.23455047607
256,19582759936,57279.886711120605
257,19890399120,-80788.52927398682
258,20202047120,176181.99230194092
259,20516903536,-385.96973037719727
260,20835590608,-16539.263423919678
261,21158102624,93613.83629608154
262,21484159328,21311.62762451172
263,21813883392,-139389.018119812
264,22147799440,107411.34349060059
265,22485066672,-107921.26997756958
266,22826719424,220005.7321548462
267,23171667456,-28100.486305236816
268,23520604016,-188154.18844604492
269,23873795904,-22627.064205169678
270,24231135040,331019.7695655823
271,24591658784,-119344.23082733154
272,24956675584,-94871.03598022461
273,25325975568,164857.95663833618
274,25699235760,307047.9226799011
275,26076173280,18890.61092376709
276,26457571216,53436.34327316284
277,26843002432,-46597.98526382446
278,27232592768,-185628.906539917
279,27626866912,130665.62070465088
280,28025038112,85058.21085357666
281,28427322336,-137067.94858169556
282,28834329824,43832.903018951416
283,29245295296,-168322.90058898926
284,29661084640,61439.54745864868
285,30081177984,182225.72715759277
286,30505797456,385031.69161987305
287,30934330992,26552.067085266113
288,31367621296,-81859.94709396362
289,31805557520,-82512.57843399048
290,32248294624,147984.51866912842
291,32695346768,92112.26292037964
292,33147036048,40178.146183013916
293,33603206512,-195667.76657867432
294,34064798688,293095.1627044678
