m,method,R,peak_bytes,value
3,naive,120,2800310,6020810
3,naive,270,14073110,68589842
3,legendre,400,75768,223019042
3,legendre,800,149368,1784157074
3,sparse,400,3856368,223019042
3,sparse,800,15392848,1784157074
3,sparse,1600,61505872,14273262050
3,theta,400,33203272,223019042
3,theta,800,154701999,1784157074
3,theta,1600,618795175,14273262050
4,naive,45,42206679,18703584
4,naive,65,125901399,81389456
4,legendre,170,44380,3808151008
4,legendre,280,71716,28025038112
4,sparse,400,3856368,116722023616
4,sparse,700,11788848,1094724676256
4,theta,400,37398503,116722023616
4,theta,800,149581799,1867552231248
4,theta,1600,598314983,29880833877360
4,divisor,3000,28617,369315715180800
4,divisor,30000,271617,3693157143113315264
4,divisor,300000,2701617,36931571437718929123104
5,naive,15,59110004,3860562
5,naive,22,262445231,26210802
5,legendre,50,17920,1587055682
5,legendre,80,27284,16637741442
5,sparse,400,3856368,51982087188802
5,sparse,600,8664944,394737122280722
5,theta,400,38678687,51982087188802
5,theta,800,154701983,1663415932276962
5,theta,1600,618795167,53229224203560642
