n,k,d,p_zn,p_gen,ratio,expo_zn,expo_gen,rho_asym,rho_c,N_zn,N_gen,pairs,reducing,seconds
30,2,0.06666666666666667,0.12873563218390804,0.004180638514954595,30.79329430741424,0.09858388895594955,0.26340203268771606,0.11251861166214161,0.20751874963942188,16,479,3027600,389760,0.004498708061873913
40,3,0.075,0.005617408906882591,0.0008725735575987866,6.437748265419592,0.18689698650304837,0.25406089061227277,0.12034444319363291,0.20751874963942188,357,2293,6247321600,35093760,0.004962708102539182
50,4,0.08,0.01368792400620163,0.00018706318811339477,73.17272919514355,0.12381905068982846,0.2476837339770273,0.12472975126794861,0.20751874963942188,147,10692,13578488010000,185861312000,0.020970625104382634
64,5,0.078125,0.0005661499808139274,2.2275204391918737e-05,25.4161520070865,0.16853950134941564,0.24147190320009573,0.12311106149407602,0.20751874963942188,3533,89786,59536249856262144,33706446713856,0.01559545798227191
80,6,0.075,0.0010967206396640197,2.008446747969339e-06,546.0541290292464,0.12290735250266746,0.2365686044887859,0.12034444319363291,0.20751874963942188,1824,995795,369946165131755929600,405727594864550400,0.02732708293478936
100,8,0.08,0.00013405816505299457,1.0174517823555107e-07,1317.5874019566356,0.12864853287623787,0.23228536238275185,0.12472975126794861,0.20751874963942188,14919,19656952,2270574625949309398510440000,304389067970653956259200,0.28436091693583876
128,10,0.078125,1.241036012013734e-05,1.6107369973214846e-09,7704.771257365224,0.12732887105207583,0.2282002492604633,0.12311106149407602,0.20751874963942188,161156,1241667637,53998214063812123939047943681867776,670137282376173239317924923392,0.2980597079731524
160,12,0.075,1.009652146275617e-06,1.4494676104589207e-11,69656.75803931539,0.12448568899996279,0.22503553717627472,0.12034444319363291,0.20751874963942188,1980881,137981696561,2489480939523023622704203191244670043750400,2513509773701660264146399063928693760,0.4594189589843154
200,16,0.08,1.7051541772177263e-08,4.124155107626786e-14,413455.39455206,0.129027612839273,0.22231447367791127,0.12472975126794861,0.20751874963942188,117291447,48494781302028,123098891982721193665200945582681456361852639734259360000,2099025898752107087933252793093311081901959251200,8.625359541969374
240,19,0.07916666666666666,8.204798113693965e-11,1.1964346033761748e-16,685770.7132960838,0.13960308836821367,0.22038378323451863,0.12401408340318332,0.20751874963942188,24375980644,16716333632914608,12091351227723157292434909219187823233933528285857753248824312217600,992070957452341689551964033107075181438086038317286291200,10.917084458982572
280,22,0.07857142857142857,1.841831731045308e-11,3.518076069136328e-19,52353379.93977684,0.12735738492967746,0.21893516830439036,0.12349922622708975,0.20751874963942188,108587552614,5684925398702340096,1213833420836996693216304881628321547963298088939042688952181572191214592921600,22356769107008532928797843299893837908806499505440374235299010195840,11.734479165985249
