n,K,target,p,N,produced,needed,seconds,db_bytes,ok,N_generic,p_generic,attained
40,4,3,0.001492452391295618,1341,1474,640,0.05568762496113777,53640,True,1715699,1.2524174089367212e-05,1
40,3,2,0.005614084808248421,640,1557,821,0.030602749902755022,25600,True,13166587,1.9476204980636255e-06,1
40,2,1,0.0024375,821,40,1,0.02353458304423839,32840,True,120584835,1.6585833594312376e-08,1
50,4,3,0.0007655730324617662,2613,2579,997,0.2265091669978574,130650,True,38612920,9.462197881379462e-07,1
50,3,2,0.0035955589237884676,997,2495,1276,0.08868037490174174,49850,True,503847699,9.256766749631682e-08,1
50,2,1,0.001568,1276,50,1,0.06060091604012996,63800,True,8392664199,2.383033507261929e-10,1
60,5,4,0.0006926049270003588,4270,6339,4510,0.6645015419926494,256200,True,86190575,3.213374177305547e-07,1
60,4,3,0.0004434814026785919,4510,8461,1433,0.7133883750066161,270600,True,852555805,7.284467520171131e-08,1
60,3,2,0.002497867910411943,1433,3600,1831,0.2551661250181496,85980,True,18909733626,4.4846518759676115e-09,1
60,2,1,0.0010925925925925925,1831,60,1,0.12588095804676414,109860,True,572718915739,3.4921144474852537e-12,1
70,5,4,0.000436480555889566,6777,10303,7158,1.9619816669728607,474390,True,1274048978,3.204186695550503e-08,1
70,4,3,0.00027944186114348075,7158,12262,1948,2.198147292016074,501060,True,18575137142,5.6819991283246955e-09,1
70,3,2,0.0018355875732437303,1948,4900,2486,0.5334052499383688,136360,True,700175949750,2.201848327569203e-10,1
70,2,1,0.0008046647230320699,2486,70,1,0.27543774992227554,174020,True,38551718900020,5.1878361252499514e-14,1
