m,method,R,seconds,value
3,naive,50,0.02650212508160621,435554
3,naive,80,0.08254662505351007,1783394
3,naive,120,0.029973041964694858,6020810
3,naive,180,0.10532866604626179,20321594
3,naive,270,0.3705198329407722,68589842
3,naive,400,1.277701709070243,223019042
3,legendre,100,0.007185457972809672,3483986
3,legendre,200,0.016418084036558867,27876602
3,legendre,400,0.03605220909230411,223019042
3,legendre,800,0.07796224998310208,1784157074
3,legendre,1600,0.1914308340055868,14273262050
3,sparse,100,0.001701165921986103,3483986
3,sparse,200,0.008343833964318037,27876602
3,sparse,400,0.06714287505019456,223019042
3,sparse,800,0.863414250081405,1784157074
3,sparse,1600,6.4425732920644805,14273262050
3,theta,100,0.015035958029329777,3483986
3,theta,200,0.05377804196905345,27876602
3,theta,400,0.29652337497100234,223019042
3,theta,800,3.2408083339687437,1784157074
3,theta,1600,15.239320582943037,14273262050
3,theta,2000,14.319319874979556,27877473314
4,naive,20,0.05077774997334927,729600
4,naive,30,0.028126833960413933,3695088
4,naive,45,0.14049195894040167,18703584
4,naive,65,0.6539769589435309,81389456
4,naive,80,1.504014707985334,186747280
4,legendre,60,0.13802374992519617,59093792
4,legendre,100,0.40092749998439103,455938272
4,legendre,170,1.2771126669831574,3808151008
4,legendre,280,3.516759042046033,28025038112
4,legendre,450,9.939422167022713,186966307184
4,sparse,100,0.002409250009804964,455938272
4,sparse,200,0.01368700002785772,7295116208
4,sparse,400,0.10406154207885265,116722023616
4,sparse,700,0.8056417918996885,1094724676256
4,sparse,1000,2.5609832500340417,4559455246080
4,theta,100,0.024875916074961424,455938272
4,theta,200,0.09182349999900907,7295116208
4,theta,400,0.4924686250742525,116722023616
4,theta,800,2.567411500029266,1867552231248
4,theta,1600,11.989635040983558,29880833877360
4,theta,2000,12.020458208047785,72951255834016
4,divisor,1000,0.0021035829558968544,4559455246080
4,divisor,3000,0.007262040977366269,369315715180800
4,divisor,10000,0.027277249959297478,45594532655091904
4,divisor,30000,0.09182020800653845,3693157143113315264
4,divisor,100000,0.3675032500177622,455945326392475858560
4,divisor,300000,1.240185625036247,36931571437718929123104
5,naive,10,0.08787454199045897,512962
5,naive,15,0.06743062508758157,3860562
5,naive,22,0.5326287079369649,26210802
5,naive,30,1.4852500420529395,123489762
5,legendre,30,1.2454642499797046,123489762
5,legendre,50,5.232417582999915,1587055682
5,legendre,80,21.84878533310257,16637741442
5,legendre,110,58.29948541696649,81762285602
5,sparse,100,0.003951083985157311,50770669282
5,sparse,200,0.017622417071834207,1624484053682
5,sparse,400,0.15244862507097423,51982087188802
5,sparse,600,0.6383192079374567,394737122280722
5,sparse,800,1.6066496249986812,1663415932276962
5,theta,100,0.0345161659643054,50770669282
5,theta,200,0.14527058298699558,1624484053682
5,theta,400,1.314077457995154,51982087188802
5,theta,800,4.9578102910891175,1663415932276962
5,theta,1600,21.760692166979425,53229224203560642
5,theta,2000,19.522716374951415,162442668610547522
